"","x","freq"
"1","",272
"2","a",236
"3","aahooxv",1
"4","aaron",1
"5","aayvfqufz",1
"6","abbott",1
"7","able",6
"8","abou",1
"9","about",28
"10","above",2
"11","abwioiypk",1
"12","abyss",1
"13","academy",2
"14","access",12
"15","accessible",2
"16","accomplish",1
"17","accomplished",1
"18","accomplishments",1
"19","according",1
"20","account",1
"21","accountant",1
"22","accounts",1
"23","achieve",1
"24","achieved",1
"25","achievement",1
"26","achievements",1
"27","acros",1
"28","across",17
"29","act",26
"30","action",19
"31","actions",4
"32","add",2
"33","additional",1
"34","address",8
"35","administered",7
"36","administering",1
"37","administr",1
"38","administration",17
"39","admissions",1
"40","adolescents",2
"41","adrmzdfr",1
"42","adult",7
"43","adults",3
"44","advance",1
"45","advancement",1
"46","adversity",1
"47","advisor",1
"48","advisory",1
"49","advocate",1
"50","aemfieo",1
"51","afccdi",1
"52","affirmed",1
"53","afford",1
"54","affordable",11
"55","afghanistan",4
"56","afte",1
"57","after",7
"58","afternoon",40
"59","ag",2
"60","again",9
"61","against",14
"62","agencies",1
"63","aggressive",1
"64","aghutoylku",1
"65","aging",1
"66","ago",13
"67","agre",1
"68","agreed",1
"69","agreement",3
"70","agzbrvza",1
"71","ahead",6
"72","ahmaud",1
"73","ainjiedgl",1
"74","aircraft",1
"75","akjjiizse",1
"76","akwmdldc",1
"77","alabama",1
"78","all",40
"79","alliance",1
"80","allocated",1
"81","allowing",1
"82","ally",2
"83","almost",1
"84","alone",1
"85","already",4
"86","also",3
"87","although",1
"88","always",4
"89","alwpopnfn",1
"90","am",12
"91","ambassador",2
"92","ambitious",1
"93","ambrice",1
"94","amcwhwlt",1
"95","ame",2
"96","amer",2
"97","ameri",1
"98","america",74
"99","american",141
"100","americans",44
"101","amlyupum",1
"102","amp",6
"103","ampgmoahh",1
"104","amtrak",5
"105","an",54
"106","analysis",1
"107","and",320
"108","andhmyyfub",1
"109","andres",2
"110","angels",1
"111","anger",1
"112","anniversary",6
"113","announce",2
"114","announced",7
"115","announcement",2
"116","announcin",1
"117","announcing",4
"118","another",4
"119","answer",1
"120","anything",1
"121","aootchmqom",1
"122","aopdofych",1
"123","applaud",2
"124","appointment",1
"125","appreciation",1
"126","approached",1
"127","approaches",1
"128","april",2
"129","arbery",1
"130","are",73
"131","arizona",1
"132","armed",3
"133","arms",3
"134","aroinqktr",1
"135","around",10
"136","arqflf",1
"137","arze",1
"138","as",95
"139","ash",1
"140","asian",11
"141","aside",1
"142","ask",1
"143","asked",2
"144","asking",1
"145","aspects",1
"146","aspirations",1
"147","assault",2
"148","assistance",3
"149","at",39
"150","atdtvdp",1
"151","athvgiof",1
"152","atlanta",3
"153","atmzvgwz",1
"154","attacks",1
"155","attorney",2
"156","august",1
"157","austin",2
"158","aut",1
"159","authority",1
"160","authorization",2
"161","avfaisktve",1
"162","away",1
"163","awe",1
"164","awfdeqhke",1
"165","axmxhvzz",1
"166","b",2
"167","back",36
"168","backbone",3
"169","background",4
"170","ballot",1
"171","ban",3
"172","bank",2
"173","bargai",1
"174","bargain",1
"175","barrier",1
"176","bases",1
"177","battery",1
"178","battl",1
"179","battle",1
"180","battling",1
"181","bay",1
"182","baylor",1
"183","bbqjxwej",1
"184","bbywond",1
"185","bdusgyusxl",1
"186","be",52
"187","bear",1
"188","bears",1
"189","beat",2
"190","beautiful",1
"191","because",12
"192","become",1
"193","becoming",3
"194","been",24
"195","before",10
"196","began",2
"197","begin",1
"198","begun",2
"199","behind",2
"200","being",2
"201","belief",1
"202","beliefs",1
"203","believe",9
"204","belong",2
"205","below",1
"206","benefits",1
"207","best",6
"208","bet",5
"209","better",6
"210","betwee",1
"211","between",5
"212","bggnwoq",1
"213","bicentennial",1
"214","biden",2
"215","big",13
"216","biggest",2
"217","bilatera",1
"218","bilateral",4
"219","bilgwdyftm",1
"220","bill",3
"221","billion",2
"222","bills",1
"223","biontech",1
"224","bipartisan",6
"225","bipartisanship",1
"226","biphobia",1
"227","birthday",3
"228","bkavokcn",1
"229","black",6
"230","blades",1
"231","blankets",1
"232","blepcr",1
"233","bless",1
"234","blewitts",1
"235","blhvrstnkr",1
"236","block",1
"237","bloody",1
"238","blow",1
"239","blue",3
"240","blueprint",3
"241","bmcgyzkdh",1
"242","bnrxpzyu",1
"243","bnuxqlrze",1
"244","boeaznfog",1
"245","bogged",1
"246","bold",5
"247","bolxhuaky",1
"248","bones",1
"249","books",2
"250","boots",1
"251","bor",1
"252","both",2
"253","bottom",4
"254","bowl",1
"255","box",1
"256","brave",2
"257","bravery",1
"258","brayden",1
"259","breaks",2
"260","breakthrough",1
"261","breathe",1
"262","breonna",1
"263","brian",1
"264","bridges",3
"265","briefed",1
"266","briefing",1
"267","bright",1
"268","brighter",1
"269","brilliant",1
"270","bring",4
"271","bringing",1
"272","brink",2
"273","broadband",1
"274","broken",1
"275","broug",1
"276","brought",3
"277","brown",1
"278","btvqlyysd",1
"279","buccaneers",1
"280","build",15
"281","building",4
"282","built",3
"283","bulldogs",1
"284","burden",1
"285","burma",1
"286","burns",1
"287","business",2
"288","businesses",13
"289","busy",1
"290","but",40
"291","buxiaybb",1
"292","buzibwgj",1
"293","bvibnobv",1
"294","bvwfpchn",1
"295","bwdhkbeu",1
"296","bwtnxfyimt",1
"297","by",33
"298","bywfklzeo",1
"299","bzwzolxs",1
"300","c",5
"301","cabinet",2
"302","cadets",1
"303","cal",1
"304","call",2
"305","called",3
"306","calling",3
"307","campaign",1
"308","can",62
"309","canadianpm",1
"310","cancer",2
"311","candle",1
"312","cannot",5
"313","capacity",2
"314","car",1
"315","care",17
"316","career",1
"317","careers",1
"318","caregivers",1
"319","caregiving",2
"320","carolina",1
"321","carried",1
"322","carries",1
"323","cascading",1
"324","case",1
"325","cases",2
"326","caucus",4
"327","caused",2
"328","cbwfwpxh",1
"329","cdc",8
"330","cdupsmnux",1
"331","ceasefire",1
"332","celebrate",8
"333","celebrating",4
"334","celebrations",1
"335","center",8
"336","centers",3
"337","central",1
"338","century",5
"339","ceos",1
"340","certainly",1
"341","cfdtbo",1
"342","cfzjqkr",1
"343","cha",1
"344","chains",2
"345","challenge",1
"346","challenges",2
"347","championship",1
